nombre;nac;mano;posicion;ranking;puntos;categoria
Arturo Coello;ESP;ZURDO;DRIVE;1;22500;MASCULINO
Agustin Tapia;ARG;DERECHA;REVES;2;21800;MASCULINO
Alejandro Galan;ESP;DERECHA;REVES;3;20100;MASCULINO
Federico Chingotto;ARG;DERECHA;DRIVE;4;19500;MASCULINO
Martin Di Nenno;ARG;DERECHA;DRIVE;5;16200;MASCULINO
Franco Stupaczuk;ARG;DERECHA;REVES;6;15900;MASCULINO
Paquito Navarro;ESP;DERECHA;REVES;7;14700;MASCULINO
Juan Lebron;ESP;DERECHA;DRIVE;8;14200;MASCULINO
Pablo Lima;BRA;ZURDO;DRIVE;9;12800;MASCULINO
Fernando Belasteguin;ARG;DERECHA;REVES;10;11500;MASCULINO
Coki Nieto;ESP;ZURDO;DRIVE;11;9800;MASCULINO
Jon Sanz;ESP;ZURDO;DRIVE;12;9500;MASCULINO
Sanyo Gutierrez;ARG;DERECHA;REVES;13;9100;MASCULINO
Miguel Yanguas;ESP;DERECHA;REVES;14;8800;MASCULINO
Alex Ruiz;ESP;ZURDO;DRIVE;15;8600;MASCULINO
Javier Garrido;ESP;DERECHA;REVES;16;8200;MASCULINO
Lucho Capra;ARG;DERECHA;DRIVE;17;7900;MASCULINO
Ramiro Moyano;ARG;DERECHA;REVES;18;7600;MASCULINO
Momo Gonzalez;ESP;DERECHA;DRIVE;19;7300;MASCULINO
Gonzalo Alfonso;ARG;DERECHA;REVES;20;7000;MASCULINO
Javier Ruiz;ESP;DERECHA;DRIVE;21;6800;MASCULINO
Lucas Campagnolo;ARG;DERECHA;REVES;22;6500;MASCULINO
Carlos Gutierrez;ARG;DERECHA;DRIVE;23;6300;MASCULINO
Fede Quiles;ESP;DERECHA;REVES;24;6100;MASCULINO
Jorge Nieto;ESP;DERECHA;DRIVE;25;5900;MASCULINO
Edu Alonso;ESP;DERECHA;REVES;26;5700;MASCULINO
Antonio Luque;ESP;DERECHA;DRIVE;27;5500;MASCULINO
Pablo Cardona;ESP;DERECHA;REVES;28;5300;MASCULINO
Franco Dal Bianco;ARG;DERECHA;DRIVE;29;5100;MASCULINO
Maxi Sanchez;ESP;ZURDO;REVES;30;4900;MASCULINO
Alex Arroyo;ESP;DERECHA;DRIVE;31;4700;MASCULINO
Javi Leal;ESP;DERECHA;REVES;32;4500;MASCULINO
Teo Zapata;ESP;DERECHA;DRIVE;33;4300;MASCULINO
Jeremy Scatena;FRA;DERECHA;REVES;34;4100;MASCULINO
Stephane Noel;FRA;DERECHA;DRIVE;35;3900;MASCULINO
Martin Morbelli;ARG;DERECHA;REVES;36;3750;MASCULINO
Tolito Aguirre;ARG;ZURDO;DRIVE;37;3600;MASCULINO
Giovanni Lapentti;ECU;DERECHA;REVES;38;3450;MASCULINO
Miguel Oliveira;POR;DERECHA;DRIVE;39;3300;MASCULINO
Gonzalo Rubio;ESP;DERECHA;REVES;40;3150;MASCULINO
Pablo Barrera;ESP;DERECHA;DRIVE;41;3000;MASCULINO
Pedro Araujo;POR;DERECHA;REVES;42;2850;MASCULINO
Hernan Montenegro;ARG;DERECHA;DRIVE;43;2700;MASCULINO
Nico Suescun;ESP;DERECHA;REVES;44;2550;MASCULINO
Daniel Ibanez;ESP;DERECHA;DRIVE;45;2400;MASCULINO
Alberto Sanz;ESP;DERECHA;REVES;46;2250;MASCULINO
Edu Urdampilleta;ESP;ZURDO;DRIVE;47;2100;MASCULINO
Max Moreau;FRA;DERECHA;REVES;48;1950;MASCULINO
Jose Rico;ESP;DERECHA;DRIVE;49;1800;MASCULINO
Coki Nieto Jr;ESP;DERECHA;REVES;50;1650;MASCULINO
Alex Solans;ESP;DERECHA;DRIVE;51;1600;MASCULINO
Pablo Lijo;ESP;DERECHA;REVES;52;1550;MASCULINO
Alvaro Cepero;ESP;DERECHA;DRIVE;53;1500;MASCULINO
Charly Alias;ESP;ZURDO;REVES;54;1450;MASCULINO
Seba Nerone;ARG;DERECHA;DRIVE;55;1400;MASCULINO
Gui Frabetti;BRA;DERECHA;REVES;56;1350;MASCULINO
Aris Patiniotis;GRE;DERECHA;DRIVE;57;1300;MASCULINO
Ivo Ruiz;ESP;DERECHA;REVES;58;1250;MASCULINO
Alberto Lozano;ESP;DERECHA;DRIVE;59;1200;MASCULINO
Fede Torres;ARG;DERECHA;REVES;60;1150;MASCULINO
Lucas Bergamini;ARG;DERECHA;DRIVE;61;1100;MASCULINO
Alex Garcia Diaz;ESP;DERECHA;REVES;62;1060;MASCULINO
Agustin Gutierrez Zubillaga;ARG;DERECHA;DRIVE;63;1020;MASCULINO
Alejandro Rios;ESP;DERECHA;REVES;64;980;MASCULINO
Fran Piersante;ARG;DERECHA;DRIVE;65;940;MASCULINO
Felipe Cols;CHI;DERECHA;REVES;66;900;MASCULINO
Lucas Reymondier;FRA;DERECHA;DRIVE;67;860;MASCULINO
Alvaro Coll;ESP;ZURDO;DRIVE;68;820;MASCULINO
Rafa Mendez;ESP;DERECHA;REVES;69;790;MASCULINO
Borja Garcia;ESP;DERECHA;DRIVE;70;760;MASCULINO
Unai Arganda;ESP;DERECHA;REVES;71;730;MASCULINO
Luis Calvo;ESP;DERECHA;DRIVE;72;700;MASCULINO
Pablo Montero;ESP;DERECHA;REVES;73;675;MASCULINO
Jofre Tur;ESP;ZURDO;DRIVE;74;650;MASCULINO
Alejandro Martos;ESP;DERECHA;REVES;75;625;MASCULINO
Diogo Rocha;POR;DERECHA;DRIVE;76;600;MASCULINO
Ricardo Brandao;POR;DERECHA;REVES;77;580;MASCULINO
Jordi Sales;ESP;DERECHA;DRIVE;78;560;MASCULINO
Hugo Gaston;FRA;DERECHA;REVES;79;540;MASCULINO
Johann Salatave;FRA;DERECHA;DRIVE;80;520;MASCULINO
Marcelo Capitani;ARG;DERECHA;REVES;81;500;MASCULINO
Augusto Gomez;ARG;DERECHA;DRIVE;82;485;MASCULINO
Emmanuel Irigoyen;ARG;ZURDO;REVES;83;470;MASCULINO
Brian Sanchez;ESP;DERECHA;DRIVE;84;455;MASCULINO
Inigo Zaratiegui;ESP;DERECHA;REVES;85;440;MASCULINO
Miguel de Cos;ESP;DERECHA;DRIVE;86;425;MASCULINO
David Losada;ESP;DERECHA;REVES;87;410;MASCULINO
Adrian Murillo;ESP;DERECHA;DRIVE;88;395;MASCULINO
Gonzalo Platel;ARG;DERECHA;REVES;89;380;MASCULINO
German Tamame;ESP;DERECHA;DRIVE;90;365;MASCULINO
Victor Ruiz Sanchez;ESP;ZURDO;REVES;91;350;MASCULINO
Jordi Munoz;ESP;DERECHA;DRIVE;92;340;MASCULINO
Carlos Mesa;ESP;DERECHA;REVES;93;330;MASCULINO
Diego Ramos;ARG;DERECHA;DRIVE;94;320;MASCULINO
Raul Marcos;ESP;DERECHA;REVES;95;310;MASCULINO
Rodrigo Gutierrez;ARG;DERECHA;DRIVE;96;300;MASCULINO
Pablo Cerezo;ESP;DERECHA;REVES;97;292;MASCULINO
Santiago Frugoni;URU;DERECHA;DRIVE;98;284;MASCULINO
Lorenzo Lecci Lopez;ITA;DERECHA;REVES;99;276;MASCULINO
Milo Spiteri;MLT;DERECHA;DRIVE;100;268;MASCULINO
