nombre;nac;mano;posicion;ranking;puntos;categoria
Paula Josemaria;ESP;ZURDO;DRIVE;1;22000;FEMENINO
Ariana Sanchez;ESP;DERECHA;REVES;2;21500;FEMENINO
Gemma Triay;ESP;DERECHA;REVES;3;20800;FEMENINO
Beatriz Gonzalez;ESP;DERECHA;REVES;4;18000;FEMENINO
Delfina Brea;ARG;DERECHA;DRIVE;5;17500;FEMENINO
Marta Ortega;ESP;DERECHA;DRIVE;6;14200;FEMENINO
Alejandra Salazar;ESP;DERECHA;DRIVE;7;13500;FEMENINO
Jessica Castello;ESP;DERECHA;REVES;8;11000;FEMENINO
Ari Sanchez;ESP;DERECHA;DRIVE;9;10500;FEMENINO
Tamara Icardo;ESP;DERECHA;REVES;10;9800;FEMENINO
Virginia Riera;ESP;DERECHA;DRIVE;11;9200;FEMENINO
Sofia Araujo;ARG;DERECHA;REVES;12;8700;FEMENINO
Lucia Sainz;ESP;DERECHA;DRIVE;13;8200;FEMENINO
Claudia Jensen;DIN;DERECHA;REVES;14;7800;FEMENINO
Carolina Orsi;ARG;DERECHA;DRIVE;15;7400;FEMENINO
Ines Maner;ESP;DERECHA;REVES;16;7000;FEMENINO
Marina Melara;ESP;DERECHA;DRIVE;17;6600;FEMENINO
Estrella Damians;ESP;DERECHA;REVES;18;6200;FEMENINO
Cecilia Reiter;ARG;DERECHA;DRIVE;19;5800;FEMENINO
Nicole Traviesa;ESP;DERECHA;REVES;20;5400;FEMENINO
Alba Galan;ESP;ZURDO;DRIVE;21;5000;FEMENINO
Bea Caldera;ESP;DERECHA;REVES;22;4700;FEMENINO
Ana Catarina Nogueira;POR;DERECHA;DRIVE;23;4400;FEMENINO
Valentina Gomez;ARG;DERECHA;REVES;24;4100;FEMENINO
Delfi Brea;ARG;DERECHA;DRIVE;25;3800;FEMENINO
Noa Marba;ESP;DERECHA;REVES;26;3500;FEMENINO
Lorena Rufo;ESP;DERECHA;DRIVE;27;3200;FEMENINO
Martina Navarro;ESP;DERECHA;REVES;28;2900;FEMENINO
Clara Tauson;DIN;DERECHA;DRIVE;29;2600;FEMENINO
Cristina Carrascosa;ESP;DERECHA;REVES;30;2300;FEMENINO
Lucia de Cos;ESP;DERECHA;DRIVE;31;2150;FEMENINO
Barbara Las Heras;ESP;DERECHA;REVES;32;2000;FEMENINO
Maria Bonilla;ESP;ZURDO;DRIVE;33;1900;FEMENINO
Carla Mesa;ESP;DERECHA;REVES;34;1800;FEMENINO
Laura Clergue;FRA;DERECHA;DRIVE;35;1700;FEMENINO
Alix Collombon;FRA;DERECHA;REVES;36;1600;FEMENINO
Amelie Detriviere;BEL;DERECHA;DRIVE;37;1500;FEMENINO
Victoria Iglesias;ESP;DERECHA;REVES;38;1400;FEMENINO
Valeria Kovacic;ARG;DERECHA;DRIVE;39;1300;FEMENINO
Paula Eyheraguibel;ARG;DERECHA;REVES;40;1200;FEMENINO
Maria Pilar Ramirez;ESP;DERECHA;DRIVE;41;1120;FEMENINO
Nuria Rodriguez;ESP;DERECHA;REVES;42;1050;FEMENINO
Elena Gonzalez;ESP;ZURDO;DRIVE;43;980;FEMENINO
Paula Mancheno;ESP;DERECHA;REVES;44;910;FEMENINO
Maria Belen Sanchez;ARG;DERECHA;DRIVE;45;850;FEMENINO
Marta Talavan;ESP;DERECHA;REVES;46;800;FEMENINO
Sofia Viglianco;ARG;DERECHA;DRIVE;47;750;FEMENINO
Carmen Goenaga;ESP;DERECHA;REVES;48;700;FEMENINO
Patry Llaguno;ESP;DERECHA;DRIVE;49;660;FEMENINO
Ana Fernandez;ESP;DERECHA;REVES;50;620;FEMENINO
Irene Montes;ESP;DERECHA;DRIVE;51;585;FEMENINO
Noemi Diaz;ESP;DERECHA;REVES;52;550;FEMENINO
Giulia Sussarello;ITA;DERECHA;DRIVE;53;515;FEMENINO
Marta Borrero;ESP;DERECHA;REVES;54;480;FEMENINO
Celia Cermeno;ESP;ZURDO;DRIVE;55;450;FEMENINO
Uxia Fernandez;ESP;DERECHA;REVES;56;420;FEMENINO
Alejandra Ruiz;ESP;DERECHA;DRIVE;57;395;FEMENINO
Estefania Montero;ARG;DERECHA;REVES;58;370;FEMENINO
Brigitte Millan;MEX;DERECHA;DRIVE;59;348;FEMENINO
Claudia Fernandez;ESP;DERECHA;REVES;60;326;FEMENINO
